,player_ids,player_names,player_birthdays,player_birthcities,player_birthcountries,player_nationalities,player_heights,player_weights,player_handedness,player_positions
3280,8447444,Roger Hagglund,1961-07-02,Umea,SWE,SWE,"6' 1""",175,L,Defenseman
2981,8445477,Todd Bidner,1961-07-05,Petrolia,CAN,GBR,"6' 2""",205,L,Left Wing
3712,8451861,William Terry,1961-07-13,Toronto,CAN,CAN,"5' 7""",174,R,Center
3632,8449312,Patrick Mayer,1961-07-24,Royal Oak,USA,USA,"6' 3""",224,NA,Defenseman
2839,8450920,Torrie Robertson,1961-08-02,Victoria,CAN,CAN,"5' 11""",200,L,Left Wing
3303,8447503,Mark Hamway,1961-08-09,Detroit,USA,USA,"6' 0""",190,R,Right Wing
3073,8445683,Andy Brickley,1961-08-09,Melrose,USA,USA,"5' 11""",200,L,Left Wing
3000,8450073,Mark Osborne,1961-08-13,Toronto,CAN,CAN,"6' 2""",200,L,Left Wing
3753,8447959,Miloslav Horava,1961-08-14,Kladno,CZE,CZE,"6' 0""",193,L,Defenseman
2979,8452549,Gary Yaremchuk,1961-08-15,Edmonton,CAN,CAN,"6' 0""",185,L,Center
3123,8449009,Jamie Macoun,1961-08-17,Newmarket,CAN,CAN,"6' 1""",193,L,Defenseman
3169,8451911,Dave Tippett,1961-08-25,Moosomin,CAN,CAN,"5' 10""",180,L,Left Wing
3219,8450200,Greg Paslawski,1961-08-25,Kindersley,CAN,CAN,"5' 11""",190,R,Right Wing
2935,8445626,Mark Botell,1961-08-27,Scarborough,CAN,CAN,"6' 4""",220,L,Defenseman
3182,8447439,Len Hachborn,1961-09-04,Brantford,CAN,CAN,"5' 10""",175,L,Center
2891,8450133,Brad Palmer,1961-09-14,Duncan,CAN,CAN,"5' 11""",185,L,Left Wing
2865,8448712,Kevin LaVallee,1961-09-16,Sudbury,CAN,CAN,"5' 8""",180,L,Left Wing
